単語,頻度,意味
species,27,種
linguistic,19,言語的
caretaker,17,世話人
superstition,14,迷信
dialect,14,方言
worm,13,ワーム
peasant,11,農民
populist,11,ポピュリスト
gaslighter,11,ガスライター
philosopher,11,哲学者
inventor,10,発明家
lobster,10,ロブスター
monstrous,10,巨大な
interpersonal,10,対人関係
invent,9,発明する
derive,9,派生する
spiritualism,9,心霊主義
shortwave,9,短波
hibernation,8,冬眠
politic,8,政治的
performer,8,パフォーマー
tattooing,8,刺青
conception,7,概念
underlie,7,根底にある
surround,7,囲む
migrant,7,移民
strive,7,努力する
motivate,7,やる気を起こさせる
toaster,7,トースター
gaslighting,7,ガスライティング
criticize,6,批判する
afrikaner,6,アフリカーナー
sanitation,6,衛生
sens,6,センス
datum,6,データム
prolong,6,延長する
circumstance,6,状況
offspring,6,子孫
spacecraft,6,宇宙船
compel,6,強制する
ethnicity,6,民族
isolate,6,隔離する
attribute,6,属性
reformer,6,改革者
devote,6,献身する
thrive,6,繁栄する
perceive,5,知覚する
psychologist,5,心理学者
zoologist,5,動物学者
characterize,5,特徴づける
classify,5,分類する
ancestor,5,祖先
stimulate,5,刺激する
portray,5,描写する
prejudice,5,偏見
unwilling,5,不本意な
hardship,5,苦難
greet,5,挨拶する
physiological,5,生理学的
homeopathy,5,ホメオパシー
confuse,5,混乱
originate,5,起源
newscaster,5,ニュースキャスター
thinker,5,思想家
emission,5,排出
spiritualist,5,心霊主義者
insect,5,昆虫
prophetic,5,予言的な
residue,5,残基
kilometer,5,キロメートル
mackenzie,5,マッケンジー
restriction,5,制限
bodied,5,体のある
categorize,5,分類する
sociolinguistic,5,社会言語学的
foresee,5,予見する
practise,4,練習する
discourage,4,落胆させる
exclude,4,除外する
migrate,4,移住する
negotiation,4,交渉
communal,4,共同体の
heroine,4,ヒロイン
capitalist,4,資本家
invoke,4,呼び出す
caste,4,カースト
reproduce,4,再現する
undermine,4,弱体化させる
contend,4,争う
classmate,4,同級生
depict,4,描写する
bh,4,bh
rationality,4,合理性
horoscope,4,星占い
alleviation,4,軽減
paradigm,4,パラダイム
clothe,4,服を着る
conform,4,従う
authenticate,4,認証する
connoisseurship,4,鑑定家
civilized,4,文明化された
sewer,4,下水道
embed,4,埋め込み
seminar,4,セミナー
attach,4,添付する
oo,4,うーん
virtuous,4,徳の高い
prehistoric,4,先史時代の
sizeable,4,かなり大きい
interactional,4,相互作用的な
nuance,4,ニュアンス
dependence,4,依存
affluence,4,豊かさ
conquer,4,征服する
recollection,4,回想
implication,3,含意
subjective,3,主観的
factual,3,事実に基づく
comprise,3,含む
noun,3,名詞
sparrow,3,スズメ
starling,3,ムクドリ
confront,3,対峙する
economical,3,経済的
disagreement,3,不一致
unrelated,3,無関係
phonograph,3,蓄音機
reproduction,3,再生
greatness,3,偉大
rusty,3,錆びた
viewer,3,視聴者
ei,3,えい
scatter,3,散らばる
pronounce,3,発音する
unskilled,3,未熟な
traveler,3,旅行者
shyness,3,内気
encouragement,3,奨励
practitioner,3,実践者
insufficient,3,不十分
antiquity,3,古代
sixteenth,3,16番目
hotter,3,もっと暑い
scholarly,3,学術的な
organism,3,生物
chimpanzee,3,チンパンジー
inherit,3,継承する
communicative,3,コミュニケーション能力のある
monolingual,3,単一言語
educator,3,教育者
paradox,3,パラドックス
homogeneity,3,均質性
rationalize,3,合理化する
séance,3,降霊会
eurasian,3,ユーラシア人
cultivation,3,栽培
cradle,3,ゆりかご
millet,3,キビ
deprive,3,奪う
optimism,3,楽観
responsive,3,応答性
cog,3,歯車
inexpensive,3,安価
authenticity,3,信憑性
authentication,3,認証
serb,3,セルビア人
bosnian,3,ボスニア語
fascist,3,ファシスト
irrigation,3,灌漑
taxis,3,タクシー
discriminate,3,差別する
indispensable,3,不可欠な
temporal,3,時間的な
fearful,3,恐ろしい
assign,3,割り当てる
standardization,3,標準化
heighten,3,高める
relieve,3,和らげる
enrich,3,豊かにする
misfortune,3,不幸
wd,3,ドライブ
humankind,3,人類
infer,3,推測する
whisky,3,ウィスキー
ageism,3,年齢差別
generalization,3,一般化
autobiographical,3,自伝的
sumerian,3,シュメール人
tar,3,タール
chemist,3,化学者
perkin,3,パーキン
quinine,3,キニーネ
socialization,3,社会化
impartial,2,公平
meditate,2,瞑想する
dilemma,2,ジレンマ
journalistic,2,ジャーナリズム
contradict,2,矛盾する
sleepy,2,眠い
sophistication,2,洗練された
underdeveloped,2,未発達
descendant,2,子孫
invader,2,インベーダー
newcomer,2,新人
pacifist,2,平和主義者
bureaucrat,2,官僚
inactivity,2,非アクティブ
northwestern,2,北西部
reconcile,2,和解する
laborer,2,労働者
scarce,2,希少
schoolchildren,2,小学生
illumination,2,照明
persist,2,持続する
solitary,2,孤独な
patriotic,2,愛国的な
technician,2,技術者
emergence,2,出現
illustrate,2,説明する
recollect,2,思い出す
tick,2,チェック
ld,2,ld
ib,2,ib
murakami,2,村上
manipulate,2,操作する
obstacle,2,障害
unify,2,統一する
erode,2,侵食する
weaken,2,弱める
coronation,2,戴冠式
heresy,2,異端
amplify,2,増幅する
instability,2,不安定
squatter,2,不法占拠者
shanty,2,小屋
exaggerated,2,誇張された
statistic,2,統計
stabilize,2,安定させる
destine,2,運命
reborn,2,生まれ変わった
scold,2,叱る
rarity,2,希少性
needy,2,貧しい
unscientific,2,非科学的
stair,2,階段
sensory,2,感覚的な
ek,2,ek
rhetorical,2,修辞的な
devise,2,考案する
drastic,2,劇的な
adherent,2,固執する
misuse,2,悪用
proclaim,2,宣言する
persuasive,2,説得力のある
reprint,2,再版
differentiate,2,差別化する
humorous,2,ユーモラスな
superstitious,2,迷信深い
orthodoxy,2,正統派
pejorative,2,軽蔑的な
distort,2,歪める
pernicious,2,有害な
unsuitable,2,不適切
theorist,2,理論家
surpass,2,凌駕する
uniqueness,2,ユニークさ
inheritance,2,継承
collaborative,2,協力的
evolve,2,進化
gorilla,2,ゴリラ
turbolaser,2,ターボレーザー
trackable,2,追跡可能
linger,2,長居する
minimize,2,最小化
bind,2,バインド
peril,2,危険
exponential,2,指数関数
overconsumption,2,過剰消費
overpopulation,2,人口過多
colonialism,2,植民地主義
lingua,2,共通語
franca,2,フランカ
rethink,2,再考する
centralized,2,集中化された
unpleasant,2,不快
laborious,2,面倒な
endeavor,2,努力
unfold,2,展開する
specialize,2,専門とする
photographic,2,写真
immortality,2,不死
disbelieve,2,信じられない
inquisitiveness,2,好奇心
objectivity,2,客観性
disinterested,2,無関心な
dandelion,2,タンポポ
skeleton,2,スケルトン
initiate,2,開始する
barley,2,大麦
starch,2,スターチ
birthplace,2,出生地
subsistence,2,生存
reconstruct,2,再構築する
cereal,2,穀物
mover,2,ムーバー
drawer,2,引き出し
athleticism,2,運動能力
nineteenth,2,19番目
underpin,2,支える
widen,2,広げる
maximize,2,最大化する
modify,2,修正する
manageable,2,管理しやすい
redeem,2,償還
variant,2,変異体
alleviate,2,軽減する
borrower,2,借り手
empower,2,力を与える
globalization,2,グローバリゼーション
sceptic,2,懐疑論者
nostalgia,2,懐かしさ
multiculturalism,2,多文化主義
restrict,2,制限
visualize,2,視覚化する
equate,2,同等にする
nourishing,2,栄養のある
manipulative,2,操作的な
diagnose,2,診断する
accusation,2,告発
deception,2,欺瞞
dim,2,薄暗い
manipulator,2,マニピュレータ
dependency,2,依存
fallibility,2,誤りやすさ
naive,2,ナイーブ
follower,2,フォロワー
galley,2,ギャレー
cach,2,キャッシュ
incomprehensible,2,理解できない
participant,2,参加者
genuineness,2,本物
expel,2,追放する
emigrate,2,移住する
chlorination,2,塩素処理
expectancy,2,期待
converge,2,収束する
chlorine,2,塩素
bypass,2,バイパス
obedient,2,従順な
respectful,2,敬意を表す
prevail,2,勝つ
oppression,2,抑圧
doorway,2,戸口
disadvantage,2,不利な点
amphitheater,2,円形劇場
excite,2,エキサイト
coincide,2,一致する
transmit,2,送信する
spreadsheet,2,スプレッドシート
instill,2,浸透させる
unleash,2,解き放つ
bamboo,2,竹
occurrence,2,発生
endow,2,与える
imaginary,2,想像上の
resonate,2,共鳴する
inaugural,2,就任式
uncover,2,発見する
primer,2,プライマー
bureaucracy,2,官僚
modernization,2,近代化
bureaucratic,2,官僚的な
stratification,2,階層化
hygiene,2,衛生
cultivate,2,耕作する
symbolize,2,象徴する
uninhabited,2,無人
superlative,2,最上級
assimilate,2,同化する
microcredit,2,マイクロクレジット
violate,2,違反する
perpetuate,2,永続させる
proponent,2,提唱者
brightness,2,輝度
coil,2,コイル
homeward,2,帰路
victorious,2,勝利した
ff,2,ff
fal,2,偽
pert,2,生意気な
ws,2,ws
hob,2,コンロ
eo,2,エオ
brk,2,brk
cu,2,cu
odio,2,オディオ
writ,2,令状
charisma,2,カリスマ
fascinate,2,魅了する
totalitarian,2,全体主義的
tyrant,2,暴君
desperation,2,絶望
performative,2,パフォーマンス的な
opportunist,2,日和見主義者
undertake,2,引き受ける
announcer,2,アナウンサー
commentator,2,コメンテーター
flourishing,2,繁栄する
aztec,2,アステカ
slash,2,スラッシュ
dnd,2,dnd
physicist,2,物理学者
apprehend,2,逮捕する
stumble,2,つまずく
freeing,2,解放する
onset,2,発症
informative,2,有益な
unachievable,2,達成不可能
tattooed,2,入れ墨
unsophisticated,2,洗練されていない
geometric,2,幾何学的な
artistry,2,芸術性
swordsman,2,剣士
courageous,2,勇敢な
ugliness,2,醜さ
propel,2,推進する
depiction,2,描写
propulsion,2,推進
evaporation,2,蒸発
striving,2,努力する
observable,2,観察可能な
manifestation,2,顕現
newborn,2,新生児
curl,2,カール
relaxation,2,リラクゼーション
motivating,2,やる気を起こさせる
rewarding,2,やりがいのある
irreparable,2,修復不可能な
punctuate,2,句読点を付ける
breadwinner,2,稼ぎ手
lure,2,ルアー
herded,2,群れをなした
industrialization,2,工業化
commercialization,2,商業化
directedness,2,方向性
dispirit,2,意気消沈
entrapment,2,閉じ込め
grasshopper,2,バッタ
blizzard,2,ブリザード
devastate,2,壊滅させる
destitute,2,貧困
awaken,2,目覚める
prosperous,2,繁栄した
concerted,2,協調的な
universalize,2,普遍化する
sheltered,2,保護された
compulsory,2,義務
emphasizing,2,強調する
schooling,2,学校教育
parental,2,親の
stylish,2,スタイリッシュ
stereotype,2,ステレオタイプ
temptation,2,誘惑
listener,2,リスナー
glacier,2,氷河
vegetation,2,植生
climatic,2,気候的な
counselor,2,カウンセラー
plantation,2,プランテーション
textile,2,繊維
accumulate,2,蓄積する
expressive,2,表現力豊かな
dusk,2,夕暮れ
pleasurable,2,楽しい
aniline,2,アニリン
tyrian,2,ティリアン
mauve,2,藤色